tech_category,difficulty,question_desc,option_1,option_2,option_3,option_4,correct_answer
Machine Learning,beginner,Fungsi VLOOKUP dalam spreadsheet paling tepat digunakan untuk:,Menghitung jumlah total dari serangkaian cell,Mencari nilai dalam tabel berdasarkan kriteria tertentu,Mengurutkan data dalam urutan menaik,Menggabungkan teks dari beberapa sel,Mencari nilai dalam tabel berdasarkan kriteria tertentu
Machine Learning,beginner,"Dalam Python, bagaimana cara mendeklarasikan variabel?",var x = 5,let x = 5,x = 5,int x = 5,x = 5
Machine Learning,beginner,Apa output dari ekspresi Python berikut: 3 * 2 ** 3?,18,24,9,36,24
Machine Learning,beginner,Manakah dari berikut ini yang merupakan tipe data sekuensial dalam Python?,Integer,Float,List,Boolean,List
Machine Learning,beginner,Apa yang dimaksud dengan matriks dalam konteks pemrograman?,Sekumpulan data yang tidak terstruktur,Array dua dimensi atau lebih,Fungsi matematika kompleks,Jenis variabel dalam Python,Array dua dimensi atau lebih
Machine Learning,beginner,Apa fungsi utama dari subprogram atau fungsi dalam pemrograman?,Untuk menyimpan data,Untuk membuat antarmuka pengguna,Untuk mengorganisasi dan mengelompokkan kode yang dapat digunakan kembali,Untuk menghubungkan ke database,Untuk mengorganisasi dan mengelompokkan kode yang dapat digunakan kembali
Machine Learning,beginner,Apa yang dimaksud dengan Machine Learning?,Teknologi yang memungkinkan komputer meniru perilaku manusia,Sistem yang dapat menghasilkan konten kreatif seperti gambar dan teks,Metode untuk memproses bahasa alami secara otomatis,Algoritma yang dapat menemukan pola dalam data besar,Algoritma yang dapat menemukan pola dalam data besar
Machine Learning,beginner,Manakah dari berikut ini yang merupakan jenis pembelajaran dalam Machine Learning?,Supervised Learning,Unsupervised Learning,Reinforcement Learning,Semua jawaban benar,Semua jawaban benar
Machine Learning,beginner,Apa tujuan utama dari proses 'data cleaning' dalam Machine Learning?,Menghapus semua data,Menambahkan data baru,Menghilangkan atau memperbaiki data yang tidak akurat atau tidak lengkap,Mengubah format file data,Menghilangkan atau memperbaiki data yang tidak akurat atau tidak lengkap
Machine Learning,intermediate,Apa perbedaan utama antara bagging dan boosting dalam ensemble learning?,"Bagging menggunakan satu model, boosting menggunakan banyak model","Bagging melatih model secara paralel, boosting melatih model secara sekuensial","Bagging hanya untuk klasifikasi, boosting hanya untuk regresi","Bagging menggunakan semua fitur, boosting hanya menggunakan satu fitur","Bagging melatih model secara paralel, boosting melatih model secara sekuensial"
Machine Learning,beginner,Apa fungsi dari cross_val_score di Scikit-learn?,Menghitung skor validasi silang dari estimator,Membagi data menjadi set pelatihan dan pengujian,Melakukan prediksi berdasarkan model yang dilatih,Menggabungkan beberapa dataset menjadi satu,Menghitung skor validasi silang dari estimator
Machine Learning,beginner,Apa yang dimaksud dengan 'feature extraction' dalam konteks Machine Learning?,Proses menghapus fitur yang tidak penting,Proses membuat fitur baru dari data mentah,Proses mengubah skala fitur,Proses menggabungkan semua fitur menjadi satu,Proses membuat fitur baru dari data mentah
Machine Learning,beginner,Apa fungsi utama dari matriks konfusi (confusion matrix) dalam evaluasi model klasifikasi?,Untuk memvisualisasikan data training,Untuk mengukur kecepatan training model,Untuk menampilkan performa model dalam memprediksi,Untuk menentukan jumlah layer dalam neural network,Untuk menampilkan performa model dalam memprediksi
Machine Learning,beginner,Apa yang dimaksud dengan 'hyperparameter' dalam konteks Machine Learning?,Parameter yang dipelajari oleh model selama training,Parameter yang diatur oleh pengembang sebelum training,Hasil prediksi model,Jumlah total parameter dalam model,Parameter yang diatur oleh pengembang sebelum training
Machine Learning,beginner,Manakah dari berikut ini yang merupakan contoh algoritma Unsupervised Learning?,Linear Regression,K-Means Clustering,Decision Trees,Support Vector Machines,K-Means Clustering
Machine Learning,beginner,Apa yang dimaksud dengan overfitting dalam konteks Machine Learning?,Model terlalu sederhana untuk menangkap pola dalam data,Model terlalu kompleks dan menangkap noise dalam data training,Model tidak dapat belajar dari data sama sekali,Model belajar terlalu cepat,Model terlalu kompleks dan menangkap noise dalam data training
Machine Learning,beginner,Apa perbedaan utama antara klasifikasi dan regresi dalam Machine Learning?,"Klasifikasi untuk data numerik, regresi untuk data kategorikal","Klasifikasi memprediksi kategori, regresi memprediksi nilai kontinu","Klasifikasi hanya untuk dua kelas, regresi untuk banyak kelas","Tidak ada perbedaan, istilah tersebut sinonim","Klasifikasi memprediksi kategori, regresi memprediksi nilai kontinu"
Machine Learning,beginner,Apa fungsi dari proses normalisasi data dalam Machine Learning?,Menghapus data yang tidak diperlukan,Mengubah skala fitur agar berada dalam rentang yang sama,Menambahkan lebih banyak data,Mengacak urutan data,Mengubah skala fitur agar berada dalam rentang yang sama
Machine Learning,beginner,Apa fungsi utama dari proses 'regularization' dalam model Machine Learning?,Meningkatkan kompleksitas model,Mengurangi overfitting,Mempercepat proses training,Meningkatkan jumlah parameter model,Mengurangi overfitting
Machine Learning,beginner,Manakah dari berikut ini yang BUKAN merupakan metrik evaluasi umum untuk model regresi?,Mean Squared Error (MSE),R-squared,Mean Absolute Error (MAE),Accuracy,Accuracy
Machine Learning,beginner,Manakah dari berikut ini yang merupakan contoh aplikasi Supervised Learning?,Klasifikasi email spam,Clustering karakteristik pelanggan,Pembelajaran reinforcement untuk game AI,Rekomendasi produk,Klasifikasi email spam
Machine Learning,intermediate,Apa fungsi utama dari teknik 'dropout' dalam Neural Networks?,Mempercepat proses training,Menonaktifkan neuron secara acak,Meningkatkan akurasi model,Menambah jumlah parameter dalam model,Menonaktifkan neuron secara acak
Machine Learning,intermediate,Apa yang dimaksud dengan 'batch size' dalam pelatihan model Deep Learning?,Jumlah total sampel dalam dataset,Jumlah sampel yang digunakan dalam satu iterasi update bobot,Jumlah epoch dalam training,Jumlah layer dalam model,Jumlah sampel yang digunakan dalam satu iterasi update bobot
Machine Learning,intermediate,Apa yang dimaksud dengan 'transfer learning' dalam konteks deep learning?,Mentransfer data dari satu dataset ke dataset lain,Menggunakan model yang dilatih pada satu task untuk membantu task lain yang terkait,Memindahkan model dari satu komputer ke komputer lain,Mengubah arsitektur model selama training,Menggunakan model yang dilatih pada satu task untuk membantu task lain yang terkait
Machine Learning,intermediate,"Dalam konteks time series analysis, apa yang dimaksud dengan 'seasonality'?",Tren jangka panjang dalam data,Fluktuasi acak dalam data,Pola yang berulang pada interval waktu tertentu,Perubahan mendadak dalam data,Pola yang berulang pada interval waktu tertentu
Machine Learning,intermediate,Apa yang dimaksud dengan 'gradient descent' dalam konteks optimisasi model Machine Learning?,Teknik untuk mengurangi jumlah data training,Algoritma untuk menemukan minimum lokal dari fungsi loss,Metode untuk menambah layer dalam neural network,Proses untuk menghapus outlier dari dataset,Algoritma untuk menemukan minimum lokal dari fungsi loss
Machine Learning,intermediate,Apa fungsi utama dari teknik 'pruning' dalam Decision Trees?,Menambah kedalaman tree,Mengurangi overfitting dengan memangkas cabang yang tidak penting,Meningkatkan akurasi dengan menambah lebih banyak node,Mengubah algoritma splitting node,Mengurangi overfitting dengan memangkas cabang yang tidak penting
Machine Learning,intermediate,Apa perbedaan utama antara L1 dan L2 regularisasi dalam konteks Machine Learning?,"L1 menggunakan nilai absolut, L2 menggunakan nilai kuadrat","L1 untuk klasifikasi, L2 untuk regresi","L1 lebih cepat, L2 lebih akurat","L1 untuk deep learning, L2 untuk shallow learning","L1 menggunakan nilai absolut, L2 menggunakan nilai kuadrat"
Machine Learning,intermediate,Apa yang dimaksud dengan 'ensemble diversity' dalam konteks ensemble learning?,Menggunakan model dari berbagai bahasa pemrograman,Memastikan model-model dalam ensemble membuat kesalahan yang berbeda,Menggabungkan model dari berbagai library,Menggunakan data dari berbagai sumber,Memastikan model-model dalam ensemble membuat kesalahan yang berbeda
Machine Learning,intermediate,Apa perbedaan utama antara multilayer perceptron (MLP) dan convolutional neural network (CNN)?,"MLP memproses data secara sekuensial, CNN memproses data secara paralel","MLP lebih cocok untuk data terstruktur, CNN untuk data tidak terstruktur","MLP memerlukan lebih sedikit parameter, CNN memerlukan lebih banyak parameter","MLP lebih efektif untuk transfer learning, CNN kurang efektif untuk transfer learning","MLP lebih cocok untuk data terstruktur, CNN untuk data tidak terstruktur"
Machine Learning,intermediate,"Dalam konteks rekomendasi sistem, apa perbedaan utama antara 'collaborative filtering' dan 'content-based filtering'?","Collaborative filtering menggunakan preferensi pengguna lain, content-based filtering menggunakan fitur item","Collaborative filtering hanya untuk item baru, content-based filtering untuk pengguna baru","Collaborative filtering lebih cepat, content-based filtering lebih akurat","Tidak ada perbedaan, keduanya adalah istilah yang sama","Collaborative filtering menggunakan preferensi pengguna lain, content-based filtering menggunakan fitur item"
Machine Learning,intermediate,"Dalam konteks NLP, apa fungsi utama dari 'word embedding'?",Menghitung frekuensi kata,Mengubah kata menjadi vektor dense yang capture semantic meaning,Menerjemahkan teks ke bahasa lain,Menghapus stopwords dari teks,Mengubah kata menjadi vektor dense yang capture semantic meaning
Machine Learning,intermediate,Apa keuntungan utama dari menggunakan TensorFlow.js untuk deploy model machine learning?,Meningkatkan akurasi model,Memungkinkan inferensi model di browser atau Node.js,Mempercepat proses training model,Mengurangi ukuran dataset yang diperlukan,Memungkinkan inferensi model di browser atau Node.js
Machine Learning,intermediate,"Dalam konteks model bahasa, apa yang dimaksud dengan 'perplexity'?",Jumlah parameter dalam model,Ukuran seberapa baik model memprediksi sampel,Waktu yang diperlukan untuk training model,Jumlah layer dalam arsitektur model,Ukuran seberapa baik model memprediksi sampel
Machine Learning,intermediate,Apa yang dimaksud dengan 'sequence-to-sequence model' dalam deep learning?,Model yang mengubah satu sekuens input menjadi sekuens output lain,Model untuk klasifikasi teks,Teknik untuk data augmentation,Algoritma untuk time series forecasting,Model yang mengubah satu sekuens input menjadi sekuens output lain
Machine Learning,intermediate,"Dalam konteks image generation, apa keunggulan utama dari model diffusion dibandingkan dengan GAN?",Diffusion models selalu menghasilkan gambar yang lebih realistis,Diffusion models lebih mudah di-training dan lebih stabil,Diffusion models memerlukan dataset yang lebih kecil,Diffusion models menghasilkan gambar lebih cepat,Diffusion models lebih mudah di-training dan lebih stabil
Machine Learning,advanced,Bagaimana 'Variational Autoencoders (VAEs)' berbeda dari autoencoder tradisional?,"VAEs hanya untuk data gambar, autoencoder tradisional untuk semua jenis data",VAEs menggunakan lebih sedikit parameter,"VAEs melatih encoder untuk menghasilkan distribusi probabilitas, bukan nilai tetap",VAEs selalu menghasilkan rekonstruksi yang lebih baik,"VAEs melatih encoder untuk menghasilkan distribusi probabilitas, bukan nilai tetap"
Machine Learning,advanced,Apa fungsi utama dari 'attention mechanism' dalam arsitektur Transformer?,Untuk mengoptimalkan alokasi sumber daya komputasi,Untuk memungkinkan model memprioritaskan informasi kontekstual yang relevan,Untuk meningkatkan paralelisasi dalam pemrosesan sekuens,Untuk memfasilitasi pembelajaran representasi hierarkis,Untuk memungkinkan model memprioritaskan informasi kontekstual yang relevan
Machine Learning,advanced,Apa perbedaan utama antara 'stochastic gradient descent (SGD)' dan 'mini-batch gradient descent'?,"SGD menggunakan semua data, mini-batch menggunakan subset","SGD mengupdate parameter setiap sampel, mini-batch setiap batch","SGD hanya untuk deep learning, mini-batch untuk shallow learning","SGD lebih cepat, mini-batch lebih akurat","SGD mengupdate parameter setiap sampel, mini-batch setiap batch"
Machine Learning,advanced,Apa yang dimaksud dengan 'adversarial examples' dalam konteks Deep Learning?,Data training yang sengaja dibuat salah untuk menguji robustness model,Input yang sedikit dimodifikasi untuk menyebabkan kesalahan klasifikasi pada model yang sudah terlatih dengan baik,Contoh dari kelas minoritas dalam dataset tidak seimbang,Data yang digunakan untuk melatih Generative Adversarial Networks,Input yang sedikit dimodifikasi untuk menyebabkan kesalahan klasifikasi pada model yang sudah terlatih dengan baik
Machine Learning,advanced,Apa yang dimaksud dengan 'meta-learning' atau 'learning to learn' dalam konteks Machine Learning?,Teknik untuk mengotomatisasi proses pemilihan model,Pendekatan di mana model belajar bagaimana belajar secara efisien dari pengalaman sebelumnya,Metode untuk menggabungkan multiple learning algorithms,Proses belajar tentang machine learning secara teoritis,Pendekatan di mana model belajar bagaimana belajar secara efisien dari pengalaman sebelumnya
Machine Learning,advanced,Apa fungsi utama dari 'Generative Adversarial Networks (GANs)' dalam Deep Learning?,Untuk melakukan klasifikasi multi-label,Untuk menghasilkan data sintetis yang mirip dengan data training,Untuk melakukan transfer learning antar domain,Untuk mengoptimalkan hyperparameter secara otomatis,Untuk menghasilkan data sintetis yang mirip dengan data training
Machine Learning,advanced,Apa yang dimaksud dengan 'few-shot learning' dalam konteks Machine Learning?,Teknik untuk melatih model dengan dataset yang sangat besar,Metode untuk model belajar tugas baru dengan sangat sedikit contoh berlabel,Pendekatan untuk mempercepat proses training,Strategi untuk mengurangi jumlah parameter dalam model,Metode untuk model belajar tugas baru dengan sangat sedikit contoh berlabel
Machine Learning,advanced,"Dalam konteks Reinforcement Learning, apa yang dimaksud dengan 'policy gradient methods'?",Teknik untuk mengoptimalkan reward function,Algoritma yang langsung mengoptimalkan policy tanpa menggunakan value function,Metode untuk mengurangi variance dalam estimasi gradient,Teknik untuk mempercepat konvergensi Q-learning,Algoritma yang langsung mengoptimalkan policy tanpa menggunakan value function
Machine Learning,advanced,"Dalam konteks Natural Language Processing, apa keunggulan utama dari arsitektur 'BERT'?",BERT hanya efektif untuk klasifikasi teks,BERT menggunakan attention mechanism untuk memahami konteks kata dalam kalimat,BERT tidak memerlukan fine-tuning untuk task spesifik,BERT hanya bekerja dengan bahasa Inggris,BERT menggunakan attention mechanism untuk memahami konteks kata dalam kalimat
Multi Platform,beginner,Apa yang dimaksud dengan Flutter dalam pengembangan aplikasi multi-platform?,Sebuah bahasa pemrograman baru,UI toolkit dari Google untuk membuat aplikasi multi-platform,Sistem operasi untuk perangkat mobile,Framework untuk membuat game,UI toolkit dari Google untuk membuat aplikasi multi-platform
Multi Platform,beginner,Bahasa pemrograman apa yang digunakan untuk mengembangkan aplikasi Flutter?,Java,Swift,Dart,Python,Dart
Multi Platform,beginner,Apa keunggulan utama pengembangan aplikasi dengan Flutter?,Hanya bisa digunakan untuk Android,Membutuhkan kode terpisah untuk setiap platform,Dapat membuat aplikasi untuk berbagai platform dengan satu codebase,Hanya mendukung pengembangan web,Dapat membuat aplikasi untuk berbagai platform dengan satu codebase
Multi Platform,beginner,Apa yang dimaksud dengan 'hot reload' dalam pengembangan Flutter?,Fitur untuk mempercepat kompilasi aplikasi,Kemampuan untuk melihat perubahan kode secara instan tanpa restart aplikasi,Metode untuk menghapus bug secara otomatis,Cara untuk mengoptimalkan performa aplikasi,Kemampuan untuk melihat perubahan kode secara instan tanpa restart aplikasi
Multi Platform,beginner,Apa peran utama dari widget dalam Flutter?,Untuk mengelola database,Untuk membuat antarmuka pengguna,Untuk menangani jaringan,Untuk mengatur penyimpanan lokal,Untuk membuat antarmuka pengguna
Multi Platform,beginner,Apa perbedaan antara StatelessWidget dan StatefulWidget dalam Flutter?,StatelessWidget lebih cepat daripada StatefulWidget,"State pada StatefulWidget dapat berubah selama runtime, StatelessWidget tidak","StatelessWidget hanya digunakan untuk teks, StatefulWidget untuk gambar","Tidak ada perbedaan, keduanya dapat digunakan secara bergantian","State pada StatefulWidget dapat berubah selama runtime, StatelessWidget tidak"
Multi Platform,beginner,Apa fungsi dari pubspec.yaml dalam proyek Flutter?,Untuk menulis kode aplikasi utama,Untuk mendefinisikan dependensi dan konfigurasi proyek,Untuk menyimpan aset gambar,Untuk mengatur tata letak aplikasi,Untuk mendefinisikan dependensi dan konfigurasi proyek
Multi Platform,beginner,Bagaimana cara menambahkan package eksternal ke proyek Flutter?,Dengan mendownload package secara manual,Dengan menambahkan package ke pubspec.yaml dan menjalankan 'flutter pub get',Tidak bisa menambahkan package eksternal di Flutter,Dengan mengimpor package langsung di kode,Dengan menambahkan package ke pubspec.yaml dan menjalankan 'flutter pub get'
Multi Platform,beginner,Apa itu Dart dalam konteks pengembangan Flutter?,Sebuah IDE untuk Flutter,Bahasa pemrograman yang digunakan untuk mengembangkan aplikasi Flutter,Framework untuk mengelola state aplikasi,Alat untuk mendesain UI,Bahasa pemrograman yang digunakan untuk mengembangkan aplikasi Flutter
Multi Platform,beginner,Apa fungsi dari 'main()' dalam aplikasi Flutter?,Untuk mendeklarasikan variabel global,Sebagai titik masuk (entrypoint) utama aplikasi Flutter,Untuk mengatur tema aplikasi,Untuk menangani error,Sebagai titik masuk (entrypoint) utama aplikasi Flutter
Multi Platform,beginner,Bagaimana cara membuat layout dasar dalam Flutter?,Menggunakan HTML dan CSS,"Menggunakan widget dasar, seperti Column, Row, dan Container",Menggambar layout secara manual,Mengimpor layout dari file eksternal,"Menggunakan widget dasar, seperti Column, Row, dan Container"
Multi Platform,beginner,Apa fungsi dari setState() dalam StatefulWidget?,Untuk menghapus widget,Untuk memberi tahu framework bahwa internal state telah berubah,Untuk mengubah StatefulWidget menjadi StatelessWidget,Untuk menyimpan data ke database,Untuk memberi tahu framework bahwa internal state telah berubah
Multi Platform,beginner,Bagaimana cara menambahkan gambar ke aplikasi Flutter?,Hanya bisa menggunakan URL gambar online,Menggunakan widget Image dan menentukan path gambar di pubspec.yaml,Tidak bisa menambahkan gambar di Flutter,Harus menggunakan library eksternal,Menggunakan widget Image dan menentukan path gambar di pubspec.yaml
Multi Platform,beginner,Apa itu 'const' dalam Dart?,Variabel yang nilainya bisa diubah,Keyword untuk membuat fungsi,Variabel yang nilainya ditentukan saat compile-time dan tidak bisa diubah,Tipe data untuk angka bulat,Variabel yang nilainya ditentukan saat compile-time dan tidak bisa diubah
Multi Platform,beginner,Bagaimana cara membuat navigasi antar halaman di Flutter?,Menggunakan HTML hyperlink,Menggunakan Navigator.push() dan Navigator.pop(),Tidak bisa berpindah halaman di Flutter,Harus membuat aplikasi terpisah untuk setiap halaman,Menggunakan Navigator.push() dan Navigator.pop()
Multi Platform,beginner,Apa fungsi dari ListView widget di Flutter?,Untuk menampilkan daftar item yang dapat di-scroll,Untuk membuat tabel,Untuk menampilkan grafik,Untuk membuat form input,Untuk menampilkan daftar item yang dapat di-scroll
Multi Platform,beginner,Apa yang dimaksud dengan 'null safety' di Dart?,Fitur untuk menghapus semua null dari kode,Sistem tipe yang membantu mencegah error null-reference,Fungsi untuk mengenkripsi data,Metode untuk membuat variabel menjadi null,Sistem tipe yang membantu mencegah error null-reference
Multi Platform,beginner,Bagaimana cara menangani input pengguna di Flutter?,Hanya bisa menggunakan keyboard,Menggunakan widget seperti TextField dan GestureDetector,Input pengguna tidak didukung di Flutter,Harus menggunakan plugin eksternal,Menggunakan widget seperti TextField dan GestureDetector
Multi Platform,beginner,Apa itu 'async' dan 'await' dalam Dart?,Keyword untuk membuat loop,Metode untuk menghentikan aplikasi,Keyword untuk menangani operasi asynchronous,Fungsi untuk mengatur tampilan,Keyword untuk menangani operasi asynchronous
Multi Platform,beginner,Bagaimana cara menambahkan font kustom ke aplikasi Flutter?,Tidak bisa menggunakan font kustom di Flutter,Menambahkan font ke assets di pubspec.yaml dan menggunakannya di TextStyle,Hanya bisa menggunakan font bawaan sistem,Mengimpor font dari internet setiap kali aplikasi dijalankan,Menambahkan font ke assets di pubspec.yaml dan menggunakannya di TextStyle
Multi Platform,beginner,Apa fungsi dari 'BuildContext' dalam Flutter?,Untuk membangun UI,Untuk menyimpan data lokal,Untuk memberikan informasi tentang posisi widget dalam widget tree,Untuk mengatur warna aplikasi,Untuk memberikan informasi tentang posisi widget dalam widget tree
Multi Platform,intermediate,Apa yang dimaksud dengan 'state management' dalam Flutter?,Teknik untuk mengatur penyimpanan lokal,Cara untuk mengelola dan memperbarui data dalam aplikasi,Metode untuk mengatur tata letak widget,Sistem untuk mengelola versi aplikasi,Cara untuk mengelola dan memperbarui data dalam aplikasi
Multi Platform,intermediate,Apa perbedaan antara 'final' dan 'const' dalam Dart?,"Tidak ada perbedaan, keduanya sama","final' ditentukan saat runtime, 'const' saat compile-time","const' bisa diubah, 'final' tidak","final' hanya untuk string, 'const' untuk semua tipe data","final' ditentukan saat runtime, 'const' saat compile-time"
Multi Platform,intermediate,Apa fungsi dari 'FutureBuilder' widget dalam Flutter?,Untuk membuat animasi,Untuk menangani operasi asynchronous dan membangun UI berdasarkan hasilnya,Untuk membuat tata letak responsif,Untuk menyimpan data secara permanen,Untuk menangani operasi asynchronous dan membangun UI berdasarkan hasilnya
Multi Platform,intermediate,Apa yang dimaksud dengan 'Provider' dalam konteks state management Flutter?,Package untuk mengatur routing,Solusi state management yang memungkinkan pemisahan antara data dan UI,Library untuk membuat animasi,Tool untuk mengoptimasi performa aplikasi,Solusi state management yang memungkinkan pemisahan antara data dan UI
Multi Platform,intermediate,Bagaimana cara menerapkan tema dinamis (seperti mode gelap) dalam aplikasi Flutter?,Tidak mungkin menerapkan tema dinamis di Flutter,Menggunakan ThemeData dan setState untuk mengubah tema,Harus membuat dua aplikasi terpisah untuk tema terang dan gelap,Tema hanya bisa diubah saat kompilasi,Menggunakan ThemeData dan setState untuk mengubah tema
Multi Platform,intermediate,Apa fungsi dari 'Stream' dalam Dart dan Flutter?,Untuk menyimpan data secara permanen,Untuk menangani aliran data asinkron,Untuk membuat animasi aliran air,Untuk mengatur tata letak widget,Untuk menangani aliran data asinkron
Multi Platform,intermediate,Bagaimana cara mengimplementasikan infinite scrolling di Flutter?,Menggunakan widget ScrollView biasa,Dengan ListView.builder dan mendeteksi scroll position,Infinite scrolling tidak mungkin di Flutter,Harus menggunakan plugin khusus,Dengan ListView.builder dan mendeteksi scroll position
Multi Platform,intermediate,Apa yang dimaksud dengan 'mixin' dalam Dart?,Cara untuk menambahkan methods ke class tanpa inheritance,Tipe data baru di Dart,Metode untuk menggabungkan dua widget,Fungsi untuk mencampur warna,Cara untuk menambahkan methods ke class tanpa inheritance
Multi Platform,intermediate,Bagaimana cara melakukan unit testing di Flutter?,Unit testing tidak didukung di Flutter,Menggunakan package test dan menulis test cases,Hanya bisa melakukan manual testing,Menggunakan tool eksternal non-Dart,Menggunakan package test dan menulis test cases
Multi Platform,intermediate,Apa yang dimaksud dengan 'Future' dalam Dart?,Tipe data untuk menyimpan nilai yang akan datang,Fungsi untuk memprediksi performa aplikasi,Metode untuk mengatur jadwal eksekusi kode,Kelas untuk membuat animasi kompleks,Tipe data untuk menyimpan nilai yang akan datang
Multi Platform,intermediate,Bagaimana cara mengimplementasikan tema dinamis (seperti mode gelap) di Flutter?,Menggunakan CSS media queries,Menggunakan ThemeData dan menyediakan tema terang dan gelap,Mengganti warna widget satu per satu,Menggunakan plugin pihak ketiga khusus untuk tema,Menggunakan ThemeData dan menyediakan tema terang dan gelap
Multi Platform,intermediate,Apa yang dimaksud dengan 'isolate' dalam Dart?,Teknik untuk mengisolasi bug dalam kode,Unit eksekusi independen yang tidak berbagi memori,Metode untuk mengenkapsulasi data sensitif,Cara untuk memisahkan UI dan logika bisnis,Unit eksekusi independen yang tidak berbagi memori
Multi Platform,intermediate,Bagaimana cara melakukan HTTP request di Flutter?,Menggunakan XMLHttpRequest,"Menggunakan package http dan metode seperti get(), post(), etc.",Menggunakan Ajax calls,Mengirim request langsung ke server tanpa library,"Menggunakan package http dan metode seperti get(), post(), etc."
Multi Platform,intermediate,Bagaimana cara mengimplementasikan local storage di Flutter?,Menggunakan cookies,Menggunakan package shared_preferences atau hive,Menyimpan data dalam variabel global,Menggunakan server database,Menggunakan package shared_preferences atau hive
Multi Platform,intermediate,Bagaimana cara mengimplementasikan state management menggunakan Provider di Flutter?,Menggunakan StatefulWidget untuk semua komponen,Membuat kelas ChangeNotifier dan menggunakan ChangeNotifierProvider,Menyimpan semua state dalam variabel global,Menggunakan database untuk menyimpan state,Membuat kelas ChangeNotifier dan menggunakan ChangeNotifierProvider
Multi Platform,advanced,Bagaimana cara mengimplementasikan custom shader dalam Flutter?,Menggunakan CSS shaders,Membuat FragmentProgram dan menggunakan CustomPainter,Mengimpor shader dari software 3D,Shader tidak dapat diimplementasikan di Flutter,Membuat FragmentProgram dan menggunakan CustomPainter
Multi Platform,advanced,Apa yang dimaksud dengan 'code generation' dalam konteks Flutter?,Proses otomatis menghasilkan kode boilerplate,Teknik untuk mengoptimalkan performa kompilasi,Metode untuk mengenkripsi kode sumber,Cara untuk mengonversi kode Dart ke bahasa lain,Proses otomatis menghasilkan kode boilerplate
Multi Platform,advanced,Bagaimana cara mengimplementasikan custom render object di Flutter?,Menggunakan widget CustomPaint,Membuat subclass RenderObject dan mengimplementasikan metode paint dan layout,Menggunakan library rendering pihak ketiga,Memodifikasi source code Flutter engine,Membuat subclass RenderObject dan mengimplementasikan metode paint dan layout
Multi Platform,advanced,Apa fungsi dari 'compute' function dalam Flutter?,Untuk melakukan kalkulasi matematika kompleks,Untuk menjalankan task yang berat di isolate terpisah,Untuk mengoptimalkan rendering widget,Untuk mengompres data sebelum dikirim ke server,Untuk menjalankan task yang berat di isolate terpisah
Multi Platform,advanced,Bagaimana cara mengimplementasikan custom platform-specific code di Flutter?,Menggunakan if-else statement untuk cek platform,Membuat MethodChannel untuk komunikasi antara Dart dan platform native,Menulis ulang seluruh aplikasi untuk masing-masing platform,Menggunakan compiler flag untuk memisahkan kode,Membuat MethodChannel untuk komunikasi antara Dart dan platform native
Multi Platform,advanced,Apa yang dimaksud dengan 'tree shaking' dalam konteks Flutter?,Proses mengoptimalkan widget tree,Teknik untuk menghapus kode yang tidak digunakan saat kompilasi,Metode untuk meningkatkan performa animasi,Cara untuk mengurangi penggunaan memori saat runtime,Teknik untuk menghapus kode yang tidak digunakan saat kompilasi
Multi Platform,advanced,Bagaimana cara mengimplementasikan deep linking di Flutter?,Menggunakan package url_launcher,"Mengkonfigurasi AndroidManifest.xml dan Info.plist, serta menggunakan uni_links package",Membuat custom URL scheme di server,Menggunakan Firebase Dynamic Links,"Mengkonfigurasi AndroidManifest.xml dan Info.plist, serta menggunakan uni_links package"
Multi Platform,advanced,Apa fungsi dari 'InheritedWidget' dalam Flutter?,Untuk membuat animasi yang kompleks,Untuk mengoptimalkan rendering widget,Untuk meneruskan data ke bawah widget tree tanpa passing manual,Untuk mengelola state aplikasi secara global,Untuk meneruskan data ke bawah widget tree tanpa passing manual
Multi Platform,advanced,Bagaimana cara mengimplementasikan custom lint rules di Flutter?,Memodifikasi file analysis_options.yaml,Membuat package custom_lint dan mendefinisikan aturan baru,Menggunakan tool linting pihak ketiga,Menambahkan komentar khusus di kode,Membuat package custom_lint dan mendefinisikan aturan baru
Multi Platform,advanced,Apa yang dimaksud dengan 'golden test' dalam Flutter?,Test untuk mengukur performa aplikasi,Test yang membandingkan hasil render widget dengan screenshot yang diharapkan,Test untuk memeriksa penggunaan memori,Test yang berjalan di device high-end,Test yang membandingkan hasil render widget dengan screenshot yang diharapkan
Web,beginner,Apa kepanjangan dari HTML?,Hyper Text Markup Language,High Tech Modern Language,Hyperlink and Text Markup Language,Home Tool Markup Language,Hyper Text Markup Language
Web,beginner,Tag HTML mana yang digunakan untuk membuat hyperlink?,<link>,<a>,<hlink>,<url>,<a>
Web,beginner,Apa fungsi utama dari CSS?,Menambahkan interaktivitas ke halaman web,Membuat struktur halaman web,Mengatur tampilan dan layout halaman web,Menghubungkan halaman web dengan database,Mengatur tampilan dan layout halaman web
Web,beginner,Manakah dari berikut ini yang merupakan selector CSS yang benar?,#header,@header,?header,!header,#header
Web,beginner,Apa perbedaan utama antara margin dan padding dalam CSS?,"Margin adalah jarak di dalam elemen, padding adalah jarak di luar elemen","Margin adalah jarak di luar elemen, padding adalah jarak di dalam elemen","Margin hanya berlaku untuk elemen block, padding untuk semua elemen","Tidak ada perbedaan, keduanya sama","Margin adalah jarak di luar elemen, padding adalah jarak di dalam elemen"
